Date,Latitude,Longitude,Place,Parameter,Value,Unit of measure
2001-01-01,-67.60269444,62.87380556,Mawson,Station electricity usage,123114.0,kWh
2001-02-01,-67.60269444,62.87380556,Mawson,Station electricity usage,132070.0,kWh
2001-03-01,-67.60269444,62.87380556,Mawson,Station electricity usage,154953.0,kWh
2001-04-01,-67.60269444,62.87380556,Mawson,Station electricity usage,158364.0,kWh
2001-05-01,-67.60269444,62.87380556,Mawson,Station electricity usage,170945.0,kWh
2001-06-01,-67.60269444,62.87380556,Mawson,Station electricity usage,172582.0,kWh
2001-07-01,-67.60269444,62.87380556,Mawson,Station electricity usage,187104.0,kWh
2001-08-01,-67.60269444,62.87380556,Mawson,Station electricity usage,193678.0,kWh
2001-09-01,-67.60269444,62.87380556,Mawson,Station electricity usage,180675.0,kWh
2001-10-01,-67.60269444,62.87380556,Mawson,Station electricity usage,168268.0,kWh
2001-11-01,-67.60269444,62.87380556,Mawson,Station electricity usage,143897.0,kWh
2001-12-01,-67.60269444,62.87380556,Mawson,Station electricity usage,136778.0,kWh
2002-01-01,-67.60269444,62.87380556,Mawson,Station electricity usage,130650.0,kWh
2002-02-01,-67.60269444,62.87380556,Mawson,Station electricity usage,133675.0,kWh
2002-03-01,-67.60269444,62.87380556,Mawson,Station electricity usage,162329.0,kWh
2002-04-01,-67.60269444,62.87380556,Mawson,Station electricity usage,160303.0,kWh
2002-05-01,-67.60269444,62.87380556,Mawson,Station electricity usage,174011.0,kWh
2002-06-01,-67.60269444,62.87380556,Mawson,Station electricity usage,178971.0,kWh
2002-07-01,-67.60269444,62.87380556,Mawson,Station electricity usage,184323.0,kWh
2002-08-01,-67.60269444,62.87380556,Mawson,Station electricity usage,183261.0,kWh
2002-09-01,-67.60269444,62.87380556,Mawson,Station electricity usage,166869.0,kWh
2002-10-01,-67.60269444,62.87380556,Mawson,Station electricity usage,173473.0,kWh
2002-11-01,-67.60269444,62.87380556,Mawson,Station electricity usage,150241.0,kWh
2002-12-01,-67.60269444,62.87380556,Mawson,Station electricity usage,138513.0,kWh
2003-01-01,-67.60269444,62.87380556,Mawson,Station electricity usage,127837.0,kWh
2003-02-01,-67.60269444,62.87380556,Mawson,Station electricity usage,105360.0,kWh
2003-03-01,-67.60269444,62.87380556,Mawson,Station electricity usage,100059.0,kWh
2003-04-01,-67.60269444,62.87380556,Mawson,Station electricity usage,118044.0,kWh
2003-05-01,-67.60269444,62.87380556,Mawson,Station electricity usage,123355.0,kWh
2003-06-01,-67.60269444,62.87380556,Mawson,Station electricity usage,120361.0,kWh
2003-07-01,-67.60269444,62.87380556,Mawson,Station electricity usage,133075.0,kWh
2003-08-01,-67.60269444,62.87380556,Mawson,Station electricity usage,147763.0,kWh
2003-09-01,-67.60269444,62.87380556,Mawson,Station electricity usage,116381.0,kWh
2003-10-01,-67.60269444,62.87380556,Mawson,Station electricity usage,96235.0,kWh
2003-11-01,-67.60269444,62.87380556,Mawson,Station electricity usage,94190.0,kWh
2003-12-01,-67.60269444,62.87380556,Mawson,Station electricity usage,93820.0,kWh
2004-01-01,-67.60269444,62.87380556,Mawson,Station electricity usage,91029.0,kWh
2004-02-01,-67.60269444,62.87380556,Mawson,Station electricity usage,102220.0,kWh
2004-03-01,-67.60269444,62.87380556,Mawson,Station electricity usage,113472.0,kWh
2004-04-01,-67.60269444,62.87380556,Mawson,Station electricity usage,115758.0,kWh
2004-05-01,-67.60269444,62.87380556,Mawson,Station electricity usage,122069.0,kWh
2004-06-01,-67.60269444,62.87380556,Mawson,Station electricity usage,153091.0,kWh
2004-07-01,-67.60269444,62.87380556,Mawson,Station electricity usage,142933.0,kWh
2004-08-01,-67.60269444,62.87380556,Mawson,Station electricity usage,105667.0,kWh
2004-09-01,-67.60269444,62.87380556,Mawson,Station electricity usage,97196.0,kWh
2004-10-01,-67.60269444,62.87380556,Mawson,Station electricity usage,83344.0,kWh
2004-11-01,-67.60269444,62.87380556,Mawson,Station electricity usage,95471.0,kWh
2004-12-01,-67.60269444,62.87380556,Mawson,Station electricity usage,80256.0,kWh
2005-01-01,-67.60269444,62.87380556,Mawson,Station electricity usage,99268.0,kWh
2005-02-01,-67.60269444,62.87380556,Mawson,Station electricity usage,92643.0,kWh
2005-03-01,-67.60269444,62.87380556,Mawson,Station electricity usage,97165.0,kWh
2005-04-01,-67.60269444,62.87380556,Mawson,Station electricity usage,106833.0,kWh
2005-05-01,-67.60269444,62.87380556,Mawson,Station electricity usage,122499.0,kWh
2005-06-01,-67.60269444,62.87380556,Mawson,Station electricity usage,87737.0,kWh
2005-07-01,-67.60269444,62.87380556,Mawson,Station electricity usage,138371.0,kWh
2005-08-01,-67.60269444,62.87380556,Mawson,Station electricity usage,117023.0,kWh
2005-09-01,-67.60269444,62.87380556,Mawson,Station electricity usage,104306.0,kWh
2005-10-01,-67.60269444,62.87380556,Mawson,Station electricity usage,88546.0,kWh
2005-11-01,-67.60269444,62.87380556,Mawson,Station electricity usage,71837.0,kWh
2005-12-01,-67.60269444,62.87380556,Mawson,Station electricity usage,85529.0,kWh
