Date,Electricity_kWh,Fuel_L,Solar_kWh_m2_day,Temperature_C,Electricity_Imputed
2001-01-01,123114.0,36831,7.1309,-2.96,0
2001-02-01,132070.0,39571,3.8016,-5.54,0
2001-03-01,154953.0,45127,2.4722,-11.77,0
2001-04-01,158364.0,52466,0.9883,-18.22,0
2001-05-01,170945.0,53685,0.1368,-17.78,0
2001-06-01,172582.0,53264,0.0002,-19.55,0
2001-07-01,187104.0,56715,0.0374,-20.11,0
2001-08-01,193678.0,59503,0.5866,-23.11,0
2001-09-01,180675.0,54855,2.34,-21.63,0
2001-10-01,168268.0,50538,4.9457,-15.83,0
2001-11-01,143897.0,42353,7.1458,-8.38,0
2001-12-01,136778.0,40945,7.5288,-3.81,0
2002-01-01,130650.0,37370,7.0306,-2.83,0
2002-02-01,133675.0,37502,4.8281,-7.4,0
2002-03-01,162329.0,47340,2.8848,-11.76,0
2002-04-01,160303.0,50658,0.9941,-15.98,0
2002-05-01,174011.0,54016,0.1154,-14.71,0
2002-06-01,178971.0,56689,0.0002,-17.54,0
2002-07-01,184323.0,56077,0.0341,-19.11,0
2002-08-01,183261.0,55538,0.5933,-22.5,0
2002-09-01,166869.0,50089,2.2867,-17.95,0
2002-10-01,173473.0,52785,4.7364,-14.69,0
2002-11-01,150241.0,45700,7.6294,-9.6,0
2002-12-01,138513.0,40148,8.8963,-4.78,0
2003-01-01,127837.0,35652,6.7481,-2.86,0
2003-02-01,105360.0,29850,4.6418,-4.53,0
2003-03-01,100059.0,27240,2.2008,-10.61,0
2003-04-01,118044.0,35784,1.0596,-18.41,0
2003-05-01,123355.0,35848,0.1296,-20.6,0
2003-06-01,120361.0,37692,0.0005,-19.21,0
2003-07-01,133075.0,42260,0.0329,-21.43,0
2003-08-01,147763.0,45466,0.492,-22.01,0
2003-09-01,116381.0,40183,2.1974,-19.23,0
2003-10-01,96235.0,30214,5.0935,-17.08,0
2003-11-01,94190.0,29937,7.8828,-10.2,0
2003-12-01,93820.0,28098,9.0338,-3.41,0
2004-01-01,91029.0,26813,6.937,-2.42,0
2004-02-01,102220.0,30456,4.5694,-5.47,0
2004-03-01,113472.0,34493,2.1324,-11.75,0
2004-04-01,115758.0,39088,1.002,-18.34,0
2004-05-01,122069.0,36841,0.1176,-18.4,0
2004-06-01,153091.0,48628,0.0002,-21.78,0
2004-07-01,142933.0,45693,0.0377,-21.96,0
2004-08-01,105667.0,34251,0.5486,-19.6,0
2004-09-01,97196.0,34683,2.3846,-22.18,0
2004-10-01,83344.0,32596,4.8362,-14.86,0
2004-11-01,95471.0,28652,7.3795,-7.73,0
2004-12-01,80256.0,25344,8.8502,-2.95,0
2005-01-01,99268.0,30882,7.4933,-3.05,0
2005-02-01,92643.0,28616,5.8853,-7.65,0
2005-03-01,97165.0,30238,2.8049,-10.7,0
2005-04-01,106833.0,38349,0.977,-18.32,0
2005-05-01,122499.0,51229,0.1332,-20.39,0
2005-06-01,87737.0,33661,0.0002,-17.22,0
2005-07-01,138371.0,50726,0.0362,-20.0,0
2005-08-01,117023.0,44143,0.5705,-21.05,0
2005-09-01,104306.0,38300,2.1576,-18.89,0
2005-10-01,88546.0,35050,4.8648,-16.01,0
2005-11-01,71837.0,24680,7.8595,-10.17,0
2005-12-01,85529.0,28472,8.7499,-2.63,0
2006-01-01,101991.0,34356,8.087,-3.37,0
2006-02-01,70427.0,24641,4.9342,-7.68,0
2006-03-01,76183.0,30904,2.3374,-12.76,0
2006-04-01,55901.0,21235,0.9446,-16.54,0
2006-05-01,117814.0,45658,0.1373,-21.27,0
2006-06-01,83806.0,31052,0.0005,-20.28,0
2006-07-01,109923.0,43473,0.0382,-24.89,0
2006-08-01,101347.0,40448,0.5839,-19.81,0
2006-09-01,94645.0,36661,2.1214,-19.31,0
2006-10-01,82632.0,30967,4.8043,-16.81,0
2006-11-01,66516.0,23496,7.5094,-8.93,0
2006-12-01,76816.0,24284,9.293,-5.86,0
2007-01-01,94312.0,32332,7.5902,-3.98,0
2007-02-01,71851.0,24330,5.5411,-8.59,0
2007-03-01,78271.0,29201,2.941,-14.69,0
2007-04-01,90571.0,35533,1.0452,-15.4,0
2007-05-01,80305.0,29720,0.1154,-14.41,0
2007-06-01,75449.0,30077,0.0005,-18.84,0
2007-07-01,62826.0,29449,0.0346,-18.4,0
2007-08-01,75751.0,36777,0.5719,-19.73,1
2007-09-01,88676.0,35755,2.2361,-21.34,0
2007-10-01,85981.0,31896,4.9255,-16.17,0
2007-11-01,76809.0,25224,7.4112,-7.96,0
2007-12-01,112781.0,37601,8.8577,-5.03,0
2008-01-01,82907.0,27326,8.5058,-5.97,0
2008-02-01,63367.0,21574,5.5558,-8.74,0
2008-03-01,73804.0,26214,3.0228,-14.59,0
2008-04-01,90628.0,32745,1.0454,-17.59,0
2008-05-01,68962.0,25445,0.1078,-18.75,0
2008-06-01,76519.0,32107,0.0002,-24.65,0
2008-07-01,106860.0,39812,0.0329,-18.97,0
2008-08-01,96750.0,38285,0.5813,-24.22,0
2008-09-01,94375.0,36741,2.2805,-21.65,0
2008-10-01,86962.0,31446,5.0914,-19.69,0
2008-11-01,70942.0,25243,7.6202,-9.76,0
2008-12-01,100425.0,33015,8.3249,-4.1,0
2009-01-01,91949.0,29292,6.8143,-4.48,0
2009-02-01,75518.0,22152,4.0776,-5.98,0
2009-03-01,59851.0,20817,2.1665,-12.03,0
2009-04-01,82341.0,28998,1.0114,-19.43,0
2009-05-01,99844.0,33356,0.1234,-18.88,0
2009-06-01,102800.0,34514,0.0005,-17.85,0
2009-07-01,102548.0,32417,0.0353,-18.13,0
2009-08-01,113652.0,37963,0.5863,-22.83,0
2009-09-01,92585.0,30912,2.346,-19.34,0
2009-10-01,91088.0,29516,5.155,-16.88,0
2009-11-01,74096.0,24547,7.795,-9.67,0
2009-12-01,15005.0,56042,8.748,-5.29,0
2010-01-01,62785.0,28132,7.0279,-3.16,0
2010-02-01,40010.0,21105,4.9519,-6.52,0
2010-03-01,55219.0,20834,2.3359,-12.1,0
2010-04-01,81130.0,27516,0.9958,-19.86,0
2010-05-01,72648.0,26591,0.131,-21.29,0
2010-06-01,86337.0,30479,0.0005,-22.32,0
2010-07-01,96318.0,36020,0.036,-25.59,0
2010-08-01,100563.0,35144,0.4944,-24.48,0
2010-09-01,95057.0,32352,2.1775,-17.49,0
2010-10-01,90676.0,30210,4.8031,-17.75,0
2010-11-01,93361.0,31100,7.7491,-11.29,0
2010-12-01,69394.0,22550,9.1198,-5.48,0
2011-01-01,76358.0,22539,8.095,-4.07,0
2011-02-01,76580.0,22294,6.209,-10.58,0
2011-03-01,80659.0,24345,3.126,-13.83,0
2011-04-01,103351.0,36200,1.063,-18.69,0
2011-05-01,118705.0,39400,0.1272,-20.81,0
2011-06-01,103423.0,32236,0.0002,-20.48,0
2011-07-01,116278.0,38027,0.0317,-18.09,0
2011-08-01,94604.0,27433,0.571,-21.45,0
2011-09-01,105516.0,34588,2.2687,-21.01,0
2011-10-01,126780.0,40321,4.9966,-19.68,0
2011-11-01,92203.0,27234,7.5583,-9.35,0
2011-12-01,107910.0,32178,9.4056,-6.07,0
2012-01-01,83209.0,24564,7.0706,-5.21,0
2012-02-01,68022.0,20500,4.7959,-7.57,0
2012-03-01,84057.0,26511,2.7166,-15.37,0
2012-04-01,110077.0,36085,0.9142,-18.4,0
2012-05-01,121215.0,41728,0.1267,-22.45,0
2012-06-01,105476.0,46463,0.0002,-21.31,0
2012-07-01,122837.0,44269,0.0377,-24.75,0
2012-08-01,109183.0,37428,0.5551,-23.51,0
2012-09-01,112144.0,38394,2.2546,-23.15,0
2012-10-01,115189.0,37149,4.8593,-15.93,0
2012-11-01,76173.0,23350,7.7426,-8.85,0
2012-12-01,86123.0,23983,8.8049,-4.47,0
2013-01-01,70102.0,29294,6.4642,-3.85,0
2013-02-01,72344.0,21857,4.6678,-7.81,0
2013-03-01,92241.0,30991,2.4934,-14.75,0
2013-04-01,101461.0,32814,0.9487,-18.06,0
2013-05-01,117848.0,37963,0.1212,-23.1,0
2013-06-01,107577.0,36199,0.0005,-19.56,0
2013-07-01,106896.0,36121,0.0377,-22.01,0
2013-08-01,98738.0,32268,0.5654,-21.78,0
2013-09-01,86710.0,27422,2.214,-16.51,0
2013-10-01,84054.0,26105,4.6786,-14.68,0
2013-11-01,109484.0,35812,7.6558,-8.5,0
2013-12-01,129031.0,31588,9.0852,-4.9,0
2014-01-01,91568.0,28641,8.215,-4.47,0
2014-02-01,61993.0,18530,5.8277,-8.57,0
2014-03-01,75925.0,23643,3.1978,-16.82,0
2014-04-01,57497.0,18399,1.1021,-21.97,0
2014-05-01,71246.0,23181,0.1207,-17.9,0
2014-06-01,90038.0,31975,0.0005,-23.22,0
2014-07-01,84856.0,29300,0.0324,-23.29,0
2014-08-01,66928.0,21689,0.6055,-21.9,0
2014-09-01,53178.0,16479,2.1874,-18.81,0
2014-10-01,60301.0,18546,5.0249,-17.52,0
2014-11-01,64722.0,19103,7.5461,-8.7,0
2014-12-01,58538.0,17769,8.831,-5.29,0
2015-01-01,71071.0,22157,7.5898,-4.49,0
2015-02-01,55693.0,15705,5.2241,-7.75,0
2015-03-01,65291.0,18157,2.4554,-13.25,0
2015-04-01,78051.0,21976,0.9725,-20.14,0
2015-05-01,133034.0,40926,0.1246,-24.55,0
2015-06-01,92603.0,31682,0.0005,-22.24,0
2015-07-01,134418.0,44776,0.0322,-25.75,0
2015-08-01,99657.0,36469,0.5354,-24.51,0
2015-09-01,89104.0,29212,2.1521,-20.8,0
2015-10-01,78649.0,23384,4.9234,-18.26,0
2015-11-01,77277.0,22961,7.8094,-9.84,0
2015-12-01,80210.0,3148,9.0007,-5.04,0
2016-01-01,77620.0,27815,7.8276,-4.76,0
2016-02-01,65859.0,19142,4.7191,-8.12,0
