Date,Latitude,Longitude,Place,Parameter,Value,Error,Unit of measure
2001-01-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,36831,,litres
2001-02-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,39571,,litres
2001-03-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,45127,,litres
2001-04-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,52466,,litres
2001-05-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,53685,,litres
2001-06-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,53264,,litres
2001-07-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,56715,,litres
2001-08-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,59503,,litres
2001-09-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,54855,,litres
2001-10-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,50538,,litres
2001-11-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,42353,,litres
2001-12-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,40945,,litres
2002-01-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,37370,,litres
2002-02-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,37502,,litres
2002-03-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,47340,,litres
2002-04-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,50658,,litres
2002-05-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,54016,,litres
2002-06-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,56689,,litres
2002-07-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,56077,,litres
2002-08-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,55538,,litres
2002-09-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,50089,,litres
2002-10-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,52785,,litres
2002-11-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,45700,,litres
2002-12-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,40148,,litres
2003-01-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,35652,,litres
2003-02-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,29850,,litres
2003-03-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,27240,,litres
2003-04-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,35784,,litres
2003-05-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,35848,,litres
2003-06-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,37692,,litres
2003-07-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,42260,,litres
2003-08-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,45466,,litres
2003-09-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,40183,,litres
2003-10-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,30214,,litres
2003-11-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,29937,,litres
2003-12-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,28098,,litres
2004-01-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,26813,,litres
2004-02-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,30456,,litres
2004-03-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,34493,,litres
2004-04-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,39088,,litres
2004-05-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,36841,,litres
2004-06-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,48628,,litres
2004-07-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,45693,,litres
2004-08-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,34251,,litres
2004-09-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,34683,,litres
2004-10-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,32596,,litres
2004-11-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,28652,,litres
2004-12-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,25344,,litres
2005-01-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,30882,,litres
2005-02-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,28616,,litres
2005-03-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,30238,,litres
2005-04-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,38349,,litres
2005-05-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,51229,,litres
2005-06-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,33661,,litres
2005-07-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,50726,,litres
2005-08-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,44143,,litres
2005-09-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,38300,,litres
2005-10-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,35050,,litres
2005-11-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,24680,,litres
2005-12-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,28472,,litres
2006-01-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,34356,,litres
2006-02-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,24641,,litres
2006-03-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,30904,,litres
2006-04-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,21235,,litres
2006-05-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,45658,,litres
2006-06-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,31052,,litres
2006-07-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,43473,,litres
2006-08-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,40448,,litres
2006-09-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,36661,,litres
2006-10-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,30967,,litres
