Date,Solar_kWh_m2_day
2001-01-01,7.1309
2001-02-01,3.8016
2001-03-01,2.4722
2001-04-01,0.9883
2001-05-01,0.1368
2001-06-01,0.0002
2001-07-01,0.0374
2001-08-01,0.5866
2001-09-01,2.34
2001-10-01,4.9457
2001-11-01,7.1458
2001-12-01,7.5288
2002-01-01,7.0306
2002-02-01,4.8281
2002-03-01,2.8848
2002-04-01,0.9941
2002-05-01,0.1154
2002-06-01,0.0002
2002-07-01,0.0341
2002-08-01,0.5933
2002-09-01,2.2867
2002-10-01,4.7364
2002-11-01,7.6294
2002-12-01,8.8963
2003-01-01,6.7481
2003-02-01,4.6418
2003-03-01,2.2008
2003-04-01,1.0596
2003-05-01,0.1296
2003-06-01,0.0005
2003-07-01,0.0329
2003-08-01,0.492
2003-09-01,2.1974
2003-10-01,5.0935
2003-11-01,7.8828
2003-12-01,9.0338
2004-01-01,6.937
2004-02-01,4.5694
2004-03-01,2.1324
2004-04-01,1.002
2004-05-01,0.1176
2004-06-01,0.0002
2004-07-01,0.0377
2004-08-01,0.5486
2004-09-01,2.3846
2004-10-01,4.8362
2004-11-01,7.3795
2004-12-01,8.8502
2005-01-01,7.4933
2005-02-01,5.8853
2005-03-01,2.8049
2005-04-01,0.977
2005-05-01,0.1332
2005-06-01,0.0002
2005-07-01,0.0362
2005-08-01,0.5705
2005-09-01,2.1576
2005-10-01,4.8648
2005-11-01,7.8595
2005-12-01,8.7499
2006-01-01,8.087
2006-02-01,4.9342
2006-03-01,2.3374
2006-04-01,0.9446
2006-05-01,0.1373
2006-06-01,0.0005
2006-07-01,0.0382
2006-08-01,0.5839
2006-09-01,2.1214
2006-10-01,4.8043
2006-11-01,7.5094
2006-12-01,9.293
2007-01-01,7.5902
2007-02-01,5.5411
2007-03-01,2.941
2007-04-01,1.0452
2007-05-01,0.1154
2007-06-01,0.0005
2007-07-01,0.0346
2007-08-01,0.5719
2007-09-01,2.2361
2007-10-01,4.9255
2007-11-01,7.4112
2007-12-01,8.8577
2008-01-01,8.5058
2008-02-01,5.5558
2008-03-01,3.0228
2008-04-01,1.0454
2008-05-01,0.1078
2008-06-01,0.0002
2008-07-01,0.0329
2008-08-01,0.5813
2008-09-01,2.2805
2008-10-01,5.0914
2008-11-01,7.6202
2008-12-01,8.3249
2009-01-01,6.8143
2009-02-01,4.0776
2009-03-01,2.1665
2009-04-01,1.0114
2009-05-01,0.1234
2009-06-01,0.0005
2009-07-01,0.0353
2009-08-01,0.5863
2009-09-01,2.346
2009-10-01,5.155
2009-11-01,7.795
2009-12-01,8.748
2010-01-01,7.0279
2010-02-01,4.9519
2010-03-01,2.3359
2010-04-01,0.9958
2010-05-01,0.131
2010-06-01,0.0005
2010-07-01,0.036
2010-08-01,0.4944
2010-09-01,2.1775
2010-10-01,4.8031
2010-11-01,7.7491
2010-12-01,9.1198
2011-01-01,8.095
2011-02-01,6.209
2011-03-01,3.126
2011-04-01,1.063
2011-05-01,0.1272
2011-06-01,0.0002
2011-07-01,0.0317
2011-08-01,0.571
2011-09-01,2.2687
2011-10-01,4.9966
2011-11-01,7.5583
2011-12-01,9.4056
2012-01-01,7.0706
2012-02-01,4.7959
2012-03-01,2.7166
2012-04-01,0.9142
2012-05-01,0.1267
2012-06-01,0.0002
2012-07-01,0.0377
2012-08-01,0.5551
2012-09-01,2.2546
2012-10-01,4.8593
2012-11-01,7.7426
2012-12-01,8.8049
2013-01-01,6.4642
2013-02-01,4.6678
2013-03-01,2.4934
2013-04-01,0.9487
2013-05-01,0.1212
2013-06-01,0.0005
2013-07-01,0.0377
2013-08-01,0.5654
2013-09-01,2.214
2013-10-01,4.6786
2013-11-01,7.6558
2013-12-01,9.0852
2014-01-01,8.215
2014-02-01,5.8277
2014-03-01,3.1978
2014-04-01,1.1021
2014-05-01,0.1207
2014-06-01,0.0005
2014-07-01,0.0324
2014-08-01,0.6055
2014-09-01,2.1874
2014-10-01,5.0249
2014-11-01,7.5461
2014-12-01,8.831
2015-01-01,7.5898
2015-02-01,5.2241
2015-03-01,2.4554
2015-04-01,0.9725
2015-05-01,0.1246
2015-06-01,0.0005
2015-07-01,0.0322
2015-08-01,0.5354
2015-09-01,2.1521
2015-10-01,4.9234
2015-11-01,7.8094
2015-12-01,9.0007
2016-01-01,7.8276
2016-02-01,4.7191
2016-03-01,2.5462
2016-04-01,1.0193
2016-05-01,0.1205
2016-06-01,0.0002
2016-07-01,0.0386
2016-08-01,0.605
2016-09-01,2.179
2016-10-01,4.9416
2016-11-01,7.7676
2016-12-01,8.3942
