Date,Temperature_C
2001-01-01,-2.96
2001-02-01,-5.54
2001-03-01,-11.77
2001-04-01,-18.22
2001-05-01,-17.78
2001-06-01,-19.55
2001-07-01,-20.11
2001-08-01,-23.11
2001-09-01,-21.63
2001-10-01,-15.83
2001-11-01,-8.38
2001-12-01,-3.81
2002-01-01,-2.83
2002-02-01,-7.4
2002-03-01,-11.76
2002-04-01,-15.98
2002-05-01,-14.71
2002-06-01,-17.54
2002-07-01,-19.11
2002-08-01,-22.5
2002-09-01,-17.95
2002-10-01,-14.69
2002-11-01,-9.6
2002-12-01,-4.78
2003-01-01,-2.86
2003-02-01,-4.53
2003-03-01,-10.61
2003-04-01,-18.41
2003-05-01,-20.6
2003-06-01,-19.21
2003-07-01,-21.43
2003-08-01,-22.01
2003-09-01,-19.23
2003-10-01,-17.08
2003-11-01,-10.2
2003-12-01,-3.41
2004-01-01,-2.42
2004-02-01,-5.47
2004-03-01,-11.75
2004-04-01,-18.34
2004-05-01,-18.4
2004-06-01,-21.78
2004-07-01,-21.96
2004-08-01,-19.6
2004-09-01,-22.18
2004-10-01,-14.86
2004-11-01,-7.73
2004-12-01,-2.95
2005-01-01,-3.05
2005-02-01,-7.65
2005-03-01,-10.7
2005-04-01,-18.32
2005-05-01,-20.39
2005-06-01,-17.22
2005-07-01,-20.0
2005-08-01,-21.05
2005-09-01,-18.89
2005-10-01,-16.01
2005-11-01,-10.17
2005-12-01,-2.63
2006-01-01,-3.37
2006-02-01,-7.68
2006-03-01,-12.76
2006-04-01,-16.54
2006-05-01,-21.27
2006-06-01,-20.28
2006-07-01,-24.89
2006-08-01,-19.81
2006-09-01,-19.31
2006-10-01,-16.81
2006-11-01,-8.93
2006-12-01,-5.86
2007-01-01,-3.98
2007-02-01,-8.59
2007-03-01,-14.69
2007-04-01,-15.4
2007-05-01,-14.41
2007-06-01,-18.84
2007-07-01,-18.4
2007-08-01,-19.73
2007-09-01,-21.34
2007-10-01,-16.17
2007-11-01,-7.96
2007-12-01,-5.03
2008-01-01,-5.97
2008-02-01,-8.74
2008-03-01,-14.59
2008-04-01,-17.59
2008-05-01,-18.75
2008-06-01,-24.65
2008-07-01,-18.97
2008-08-01,-24.22
2008-09-01,-21.65
2008-10-01,-19.69
2008-11-01,-9.76
2008-12-01,-4.1
2009-01-01,-4.48
2009-02-01,-5.98
2009-03-01,-12.03
2009-04-01,-19.43
2009-05-01,-18.88
2009-06-01,-17.85
2009-07-01,-18.13
2009-08-01,-22.83
2009-09-01,-19.34
2009-10-01,-16.88
2009-11-01,-9.67
2009-12-01,-5.29
2010-01-01,-3.16
2010-02-01,-6.52
2010-03-01,-12.1
2010-04-01,-19.86
2010-05-01,-21.29
2010-06-01,-22.32
2010-07-01,-25.59
2010-08-01,-24.48
2010-09-01,-17.49
2010-10-01,-17.75
2010-11-01,-11.29
2010-12-01,-5.48
2011-01-01,-4.07
2011-02-01,-10.58
2011-03-01,-13.83
2011-04-01,-18.69
2011-05-01,-20.81
2011-06-01,-20.48
2011-07-01,-18.09
2011-08-01,-21.45
2011-09-01,-21.01
2011-10-01,-19.68
2011-11-01,-9.35
2011-12-01,-6.07
2012-01-01,-5.21
2012-02-01,-7.57
2012-03-01,-15.37
2012-04-01,-18.4
2012-05-01,-22.45
2012-06-01,-21.31
2012-07-01,-24.75
2012-08-01,-23.51
2012-09-01,-23.15
2012-10-01,-15.93
2012-11-01,-8.85
2012-12-01,-4.47
2013-01-01,-3.85
2013-02-01,-7.81
2013-03-01,-14.75
2013-04-01,-18.06
2013-05-01,-23.1
2013-06-01,-19.56
2013-07-01,-22.01
2013-08-01,-21.78
2013-09-01,-16.51
2013-10-01,-14.68
2013-11-01,-8.5
2013-12-01,-4.9
2014-01-01,-4.47
2014-02-01,-8.57
2014-03-01,-16.82
2014-04-01,-21.97
2014-05-01,-17.9
2014-06-01,-23.22
2014-07-01,-23.29
2014-08-01,-21.9
2014-09-01,-18.81
2014-10-01,-17.52
2014-11-01,-8.7
2014-12-01,-5.29
2015-01-01,-4.49
2015-02-01,-7.75
2015-03-01,-13.25
2015-04-01,-20.14
2015-05-01,-24.55
2015-06-01,-22.24
2015-07-01,-25.75
2015-08-01,-24.51
2015-09-01,-20.8
2015-10-01,-18.26
2015-11-01,-9.84
2015-12-01,-5.04
2016-01-01,-4.76
2016-02-01,-8.12
2016-03-01,-14.91
2016-04-01,-19.4
2016-05-01,-21.34
2016-06-01,-24.1
2016-07-01,-23.72
2016-08-01,-19.68
2016-09-01,-23.36
2016-10-01,-16.02
2016-11-01,-8.09
2016-12-01,-3.81
